First Name,Last Name,Work Title,Image,Dimensions,Year Completed,Medium/materials,Description / Artist statement
Yuhan (Monica),Meng,Unfold,Meng-Y-Unfold.jpg,16 x 12,2026,Oil on canvas,"Unfold reveals an inner world shaped by memory. Blurred moments intentionally mimic the ambiguity of remembrance, while textures of brushstrokes and palette knife marks reflect painting's unique ability to make memories and dreams tangible. Together, this piece unfolds the person we become through what we remember and imagine."
Renéec,Fritschel,Tangledown,Fritschel-R-Tangledown-1_5882.jpeg,35 x 22,2025,oil on an old window frame,"This piece is about looking through; seeing what is distorted, transformed, flipped, and reflected through water, as if looking at the landscape from inside a home."
Vicki,Paret,Alewife Reservation #4,Paret-V-AlewifeReservation4-1_133.jpg,"36"" x 24""",2023,gouache on panel,"I aim to convey a sense of place, and the beauty and calm the natural world engenders. The fluidity of water provides a juxtaposition to the tangle of natural elements at water’s edge. To create this space out of marks and make sense of the chaos is my meditation."
Vicki,Paret,Fish Pond #3,Paret-V-Fishpond3-2.jpg,"24"" x 18""",2024,gouache on panel,"I aim to convey a sense of place, and the beauty and calm the natural world engenders. The fluidity of water provides a juxtaposition to the tangle of natural elements at water’s edge. To create this space out of marks and make sense of the chaos is my meditation."
